時間,顏色,型號,尺寸,厚度標準值(mm),厚度公差(mm),第1象限,第2象限,第3象限,第4象限,厚度結果(mm),厚度判定,外徑標準值(mm),外徑公差(mm),0~180,23~203,45~225,68~248,90~270,113~293,135~315,158~338,外徑結果(mm),外徑判定
00:01:23,Gray,E,150,9.2,0.7,7.4,9.16,9.67,7.49,8.43,NG,165,1,163.09,161.93,161.15,160.89,161.11,162.07,163.01,163.21,162.06,NG
00:07:47,Gray,E,150,9.2,0.7,7.09,8.92,9.57,7.95,8.38,NG,165,1,162.32,161.44,160.53,160.26,160.67,161.48,162.08,162.52,161.41,NG
00:14:11,Gray,E,150,9.2,0.7,7.11,8.92,9.6,7.4,8.26,NG,165,1,162.76,161.78,160.84,160.51,160.89,161.82,162.55,162.91,161.76,NG
00:20:34,Gray,E,150,9.2,0.7,7.24,8.92,9.6,7.38,8.28,NG,165,1,162.65,161.78,161,160.51,161,161.78,162.55,162.91,161.77,NG
00:26:58,Gray,E,150,9.2,0.7,7.13,8.92,9.54,7.55,8.29,NG,165,1,162.1,161.19,160.14,159.81,160.12,161.09,161.77,162.28,161.06,NG
00:33:21,Gray,E,150,9.2,0.7,7.2,8.96,9.47,7.43,8.26,NG,165,1,162.65,161.68,160.76,160.4,160.89,161.78,162.55,162.87,161.7,NG
00:39:46,Gray,E,150,9.2,0.7,7.13,8.92,9.49,7.5,8.26,NG,165,1,161.77,160.85,159.83,159.57,159.91,160.85,161.46,162.07,160.79,NG
00:46:09,Gray,E,150,9.2,0.7,7.21,9.05,9.78,7.66,8.43,NG,165,1,162.54,161.54,160.69,160.26,160.67,161.54,162.32,162.66,161.53,NG
00:52:33,Gray,E,150,9.2,0.7,7.24,8.96,9.49,7.43,8.28,NG,165,1,162.32,161.48,160.53,160.16,160.67,161.54,162.39,162.62,161.46,NG
00:58:58,Gray,E,150,9.2,0.7,7.24,9.15,9.63,7.52,8.39,NG,165,1,163.09,162.03,161,160.65,161,161.97,162.7,163.15,161.95,NG
01:05:21,Gray,E,150,9.2,0.7,7.25,9.04,9.95,7.5,8.44,NG,165,1,162.98,161.78,160.84,160.51,160.89,161.93,162.63,163.01,161.82,NG
01:11:45,Gray,E,150,9.2,0.7,7.19,9.15,9.62,7.38,8.33,NG,165,1,162.54,161.48,160.53,160.16,160.56,161.58,162.55,162.91,161.54,NG
01:18:09,Gray,E,150,9.2,0.7,7.16,8.89,9.54,7.5,8.27,NG,165,1,162.43,161.58,160.38,160.06,160.56,161.44,162.32,162.66,161.43,NG
01:24:33,Gray,E,150,9.2,0.7,7.09,9,9.64,8.11,8.46,NG,165,1,163.31,162.27,161.31,160.99,161.44,162.37,163.32,163.6,162.33,NG
01:30:56,Gray,E,150,9.2,0.7,7.45,9.09,9.66,7.49,8.42,NG,165,1,162.21,161.58,160.53,160.3,160.78,161.58,162.32,162.62,161.49,NG
01:37:20,Gray,E,150,9.2,0.7,7.82,8.98,9.63,7.5,8.48,NG,165,1,162.54,161.64,160.69,160.26,160.89,161.68,162.39,162.77,161.61,NG
01:43:44,Gray,E,150,9.2,0.7,7.25,9.16,9.53,8.69,8.66,NG,165,1,162.54,161.58,160.61,160.3,160.67,161.58,162.39,162.91,161.57,NG
01:50:08,Gray,E,150,9.2,0.7,7.11,9.11,9.63,7.5,8.34,NG,165,1,162.98,161.93,161.07,160.71,161.11,162.17,162.94,163.36,162.03,NG
01:56:32,Gray,E,150,9.2,0.7,7,8.78,9.54,7.99,8.33,NG,165,1,161.11,160.25,159.37,159.08,159.47,160.25,161,161.34,160.23,NG
02:02:55,Gray,E,150,9.2,0.7,7.05,8.95,9.41,7.42,8.21,NG,165,1,162.32,161.33,160.14,159.91,160.56,161.33,162.32,162.66,161.32,NG
02:09:19,Gray,E,150,9.2,0.7,7.26,9.02,9.46,7.57,8.33,NG,165,1,162.87,162.07,161,160.65,161.11,162.07,162.86,163.26,161.98,NG
02:15:43,Gray,E,150,9.2,0.7,7.29,9.52,9.58,8.17,8.64,NG,165,1,162.76,161.68,160.92,160.51,161,161.78,162.55,162.77,161.75,NG
02:22:07,Gray,E,150,9.2,0.7,7.24,8.9,10.7,7.62,8.62,NG,165,1,162.43,161.68,160.69,160.3,160.67,161.44,162.39,162.62,161.53,NG
02:28:30,Gray,E,150,9.2,0.7,7.16,9.05,10.06,7.43,8.43,NG,165,1,163.41,162.52,161.46,161.14,161.55,162.37,163.32,163.6,162.42,NG
02:34:54,Gray,E,150,9.2,0.7,7.26,9.09,9.62,7.6,8.39,NG,165,1,162.65,161.78,160.84,160.51,161,161.68,162.47,163.01,161.74,NG
02:41:18,Gray,E,150,9.2,0.7,7.47,10.66,9.62,7.49,8.81,NG,165,1,162.98,162.17,161.31,160.65,161,162.17,162.86,163.11,162.03,NG
02:47:42,Gray,E,150,9.2,0.7,7.12,9,9.58,7.33,8.26,NG,165,1,162.54,161.54,160.53,160.26,160.67,161.48,162.39,162.66,161.51,NG
02:54:06,Gray,E,150,9.2,0.7,7.24,8.96,9.49,7.68,8.34,NG,165,1,162.65,161.58,160.69,160.26,160.67,161.58,162.24,162.66,161.54,NG
03:00:29,Gray,E,150,9.2,0.7,7.22,9.45,9.98,7.5,8.54,NG,165,1,162.76,161.82,161,160.65,161.11,161.88,162.7,162.97,161.86,NG
03:06:53,Gray,E,150,9.2,0.7,8.02,9.13,9.47,7.74,8.59,NG,165,1,162.32,161.58,160.38,160.16,160.56,161.33,162.39,162.62,161.42,NG
03:13:17,Gray,E,150,9.2,0.7,7.11,9.05,9.52,7.37,8.26,NG,165,1,162.76,161.68,160.69,160.4,160.78,161.68,162.39,162.87,161.66,NG
03:19:41,Gray,E,150,9.2,0.7,7.07,9,9.59,7.45,8.28,NG,165,1,163.31,162.27,161.07,160.89,161.44,162.31,163.17,163.46,162.24,NG
